Usage,Popularity,Name,ID
5076.941666666667,0,Iron Plate,thermalfoundation:material:32
5012.25,0,Rotten Flesh,minecraft:rotten_flesh:0
4962,0,Infinity Dust Block,enderio:block_infinity:0
4500,0,Tallow,rustic:tallow:0
3902.8,0,Leather,minecraft:leather:0
3607.8888888888887,0,Lapis Lazuli,minecraft:dye:4
3234.5,0,Metallum,aspect:Metallum
3233.6111111111113,0,Ordo,aspect:Ordo
3108,0,Dense Copper Plate,ic2:plate:10
3088,0,Lithium Ore,nuclearcraft:ore:6
3084,0,Lithium Dust,ic2:dust:11
3072,0,Cyanite Dust,bigreactors:dustcyanite:0
3072,0,Cyanite Ingot,bigreactors:ingotcyanite:0
3072,0,Yellorium Ingot,bigreactors:ingotyellorium:0
3072,0,Dense Fluix Wire Coil,immersivecables:wire_coil:1
2778.7777777777774b,0,Deuterium,gas:deuterium
2777.7777777777774b,0,Liquid Deuterium,fluid:liquiddeuterium
2614.4534661637017Explores,500000,{Exploration},placeholder:exploration
2593,0,Electronic Circuit,ic2:crafting:1
2579.8333333333335,0,Cobblestone,minecraft:cobblestone:0
2374.3531666666663,0,Iron Ingot,minecraft:iron_ingot:0
2136,0,Basic Capacitor,enderio:item_basic_capacitor:0
2112,0,Native Emerald Cluster,jaopca:item_clusteremerald:0
2112,0,Emerald Ore,minecraft:emerald_ore:0
2080.738888888889,0,Oak Wood Planks,minecraft:planks:0
1860,0,Lithium Ion Cell,"nuclearcraft:lithium_ion_cell:0:{capacity:8000000,maxTransfer:400000,energy:0}"
1746,0,Steel Plate,thermalfoundation:material:352
1734,0,Lapis Lazuli Dust,ic2:dust:9
1645.1358024691358,0,Grains of Infinity,enderio:item_material:20
1579.9266896522274,0,Redstone,minecraft:redstone:0
1536,0,Steel Wire,immersiveengineering:material:23
1536,0,Energy Upgrade,mekanism:energyupgrade:0
1536,0,Ardite Ore Dust,exnihilocreatio:item_ore_ardite:2
1536,0,Ardite Ore,tconstruct:ore:1
1524,0,Crushed Endstone,exnihilocreatio:block_endstone_crushed:0
1458.5,0,Crushed Netherrack,"exnihilocreatio:block_netherrack_crushed:0:{display:{Lore:[""§e§lWeight: 6000""]}}"
1440,0,Mundane Belt,thaumcraft:baubles:2
1360.9444444444443,0,Charcoal,minecraft:coal:1
1316.6666666666667,0,Pulverized Coal,thermalfoundation:material:768
1312.0034739724879,0,Prosperity Shard,mysticalagriculture:crafting:5
1308,0,Stardust,astralsorcery:itemcraftingcomponent:2
1302.5,0,Mana Powder,botania:manaresource:23
1301.888888888889,0,Alchemical Brass Ingot,thaumcraft:ingot:2
1248,0,Advanced Circuit,ic2:crafting:2
1077.888888888889,0,Graphite Ingot,nuclearcraft:ingot:8
1056,0,"Emerald Ore §o""Nugget""","rats:rat_nugget_ore:23:{OreItem:{id:""netherendingores:ore_end_vanilla"",Count:1b,Damage:2s},IngotItem:{id:""minecraft:emerald_ore"",Count:2b,Damage:0s}}"
1040,0,Ferroboron Alloy,nuclearcraft:alloy:6
1036,0,Photovoltaic Plate,enderio:item_material:3
1028.888888888889,0,Demon Ingot,extrautils2:ingredients:11
1024,0,Solar Panel,ic2:te:8
1024,0,Native Yellorium Cluster,jaopca:item_clusteryellorium:0
1024,0,Yellorite Ore,bigreactors:oreyellorite:0
978.6850555555557,0,Stick,minecraft:stick:0
972,0,Lithium Manganese Dioxide Alloy,nuclearcraft:alloy:4
972,0,Electrical Steel Nugget,enderio:item_alloy_nugget:0
885.3333333333334,0,Pulverized Obsidian,thermalfoundation:material:770
884.8888888888889,0,Osmium Ingot,mekanism:ingot:1
882,0,Stoneburnt,extrautils2:decorativesolid:3
868,0,Weighted Pressure Plate (Heavy),minecraft:heavy_weighted_pressure_plate:0
864,0,Obsidian Plate,ic2:plate:6
826.8888888888889,0,Lithium Ingot,nuclearcraft:ingot:6
822,0,Bursting Powder,mechanics:bursting_powder:0
792,0,Borer Essence,twilightforest:borer_essence:0
768,0,Infinity Reagent,enderio:item_material:75
768,0,Grains Of Infinity Burst Seed,mechanics:burst_seed_grainsofinfinity:0
708.8888888888889,0,Energetic Alloy Ingot,enderio:item_alloy_ingot:1
704.4444444444445,0,Block of Cobalt,tconstruct:metal:0
704,0,Graphite Dust,nuclearcraft:dust:8
684.6666666666667,0,Crushed Diorite,exnihilocreatio:block_diorite_crushed:0
679,0,Copper Solenoid,nuclearcraft:part:4
670.6666666666667,0,Diorite,minecraft:stone:3
667.7492063492065,0,Salt,mekanism:salt:0
664,1,Crafting Table,minecraft:crafting_table:0
663.3225308641976,0,Diamond,minecraft:diamond:0
648,0,Block of Tin,thermalfoundation:storage:1
648,0,Double-Layer Capacitor,enderio:item_basic_capacitor:1
612,0,Basic Plating,nuclearcraft:part:0
610.748131240906,0,Block of Black Quartz,actuallyadditions:block_misc:2
605.1944444444445,0,Glowstone Dust,minecraft:glowstone_dust:0
592.6666666666667,0,Advanced Plating,nuclearcraft:part:1
591.2083333333334,1,Sand,minecraft:sand:0
578,0,Sky Stone Dust,appliedenergistics2:material:45
546,0,Magnesium Diboride Solenoid,nuclearcraft:part:5
538,0,Steel Casing,mekanism:basicblock:8
536b,1000,Liquid Starlight,fluid:astralsorcery.liquidstarlight
528,0,Crystallized Emerald,jaopca:item_crystalabyssemerald:0
520,0,1k ME Storage Component,appliedenergistics2:material:35
519.6686666666667,0,Blaze Powder,minecraft:blaze_powder:0
518,0,Carbonic Fluix Complex,threng:material:1
513,0,Mysical Flesh,endreborn:food_ender_flesh:0
512,0,"Yellorite Ore §o""Nugget""","rats:rat_nugget_ore:42:{OreItem:{id:""netherendingores:ore_end_modded_1"",Count:1b,Damage:13s},IngotItem:{id:""bigreactors:oreyellorite"",Count:2b,Damage:0s}}"
512b,0,Helium,fluid:helium
512,0,Speculation Core (1x),threng:material:7
512,0,Matter Ball,appliedenergistics2:material:6
510,0,Speed Upgrade,mekanism:speedupgrade:0
487.5b,0,Liquid Oxygen,fluid:liquidoxygen
487.3333333333333,0,Crushed Rhodochrosite,nuclearcraft:gem_dust:1
486,0,Manganese Dioxide Dust,nuclearcraft:dust_oxide:3
486,0,Manganese Oxide Dust,nuclearcraft:dust_oxide:2
466.72222222222223,0,Redstone Ore,minecraft:redstone_ore:0
462,0,Heart Crystal Shard,scalinghealth:crystalshard:0
462,0,Heart Crystal Ore,scalinghealth:crystalore:0
458.25,0,Reinforced Alloy,mekanism:reinforcedalloy:0
442.368b,0,Fluid Yellorium,fluid:yellorium
435,0,Omnivoir,enderio:block_omni_reservoir:0
434,0,Little Black Squash Balls,rats:little_black_squash_balls:0
432,0,Tiny Pile of Heavy Fuel Dust,mechanics:fuel_dust_tiny:0
432,0,Stone Drum,extrautils2:drum:0
422,0,Silicon,appliedenergistics2:material:5
396,0,Morb (Towerwood Borer§r),"thermalexpansion:morb:0:{id:""twilightforest:tower_termite""}"
390,0,Redstone Conductance Coil,thermalfoundation:material:515
386,0,HV Capacitor,immersiveengineering:metal_device0:2
385,0,Raw Plastic,rats:raw_plastic:0
384,0,Plastic Waste,rats:plastic_waste:0
384,0,Dense Fluix Coil Block,immersivecables:coil_block:1
384,0,Basic Induction Cell,mekanism:basicblock2:3:{tier:0}
384,0,Basic Tier Installer,mekanism:tierinstaller:0
384,0,Basic Induction Provider,mekanism:basicblock2:4:{tier:0}
380.9523809523809,0,Fern,minecraft:tallgrass:2
367.0026041666667,0,Gold Plate,thermalfoundation:material:33
360,0,Dense Iron Plate,ic2:plate:12
352.8888888888889,0,Ender Ingot,extendedcrafting:material:36
352.375,0,Rubber,ic2:crafting:0
352,0,Casing,actuallyadditions:block_misc:7
352,0,Metamorphic Swamp Stone,botania:biomestonea:4
352,0,Metamorphic Swamp Cobblestone,botania:biomestonea:12
347.2222222222222,0,Petty Tartaric Gem,"bloodmagic:soul_gem:0:{demonWillType:""steadfast"",souls:1.0d}"
326,0,Infinity Bimetal Gear,enderio:item_material:11
324,0,Basic Lithium Ion Battery,"nuclearcraft:lithium_ion_battery_basic:0:{capacity:32000000,maxTransfer:1600000,energy:0}"
324,0,Simple Photovoltaic Cell,enderio:block_solar_panel:0
318,0,Elite Control Circuit,mekanism:controlcircuit:2
311.47255967604434,0,Scented Hive,exnihilocreatio:hive:1
307.58333333333337,0,Copper Plate,thermalfoundation:material:320
305.4097222222222b,1000,Water,fluid:water
297.984375,0,Thickened Glass (Bordered),extrautils2:decorativeglass:1
296.8888888888889,0,End Steel Ingot,enderio:item_alloy_ingot:8
296,0,Lead Plate,thermalfoundation:material:323
295.55555555555554,0,§5Insanium Essence,mysticalagradditions:insanium:0
293.87222222222226,0,Stone,minecraft:stone:0
291.6666666666667,0,Nether Quartz Dust,appliedenergistics2:material:3
288,0,Basic Solar Panel,nuclearcraft:solar_panel_basic:0
288,0,Quartzburnt,extrautils2:decorativesolid:7
288,0,Gold Sheetmetal,immersiveengineering:sheetmetal:10
288,0,Green Crystal Shard,actuallyadditions:item_crystal_shard:4
264.8888888888889,0,Endorium Ingot,endreborn:item_ingot_endorium:0
256.94444444444446,0,Neutronium Ingot,avaritia:resource:4
256,0,Photovoltaic Composite,enderio:item_material:38
256,0,Insulated Tin Cable,"ic2:cable:4:{type:4b,insulation:1b}"
256,0,Tin Cable,"ic2:cable:4:{type:4b,insulation:0b}"
256,0,Speculation Core (2x),threng:material:8
248,0,Silicon Plate,libvulpes:productplate:3
240,0,Gunpowder,minecraft:gunpowder:0
231.02469135802468,0,Vibrant Alloy Ingot,enderio:item_alloy_ingot:2
227,1,Canola Seeds,actuallyadditions:item_canola_seed:0
221.5,0,Blackout Powder,randomthings:ingredient:13
220.22222222222223,0,Nether Quartz,minecraft:quartz:0
218.75b,0,Liquid Glass,fluid:glass
218.33333333333334,0,Ash,forestry:ash:0
218,0,Octadic Capacitor,enderio:item_basic_capacitor:2
216.33333333333334,0,Biomass,actuallyadditions:item_misc:21
216,0,Blasted Coal,contenttweaker:blasted_coal:0
216,0,Flux,fluxnetworks:flux:0
216,0,Bio Coal,actuallyadditions:item_misc:22
214.88888888888889,0,§cSupremium Ingot,mysticalagriculture:crafting:37
211.23611111111111,0,Coal,minecraft:coal:0
208,0,Ender Amethyst,biomesoplenty:gem:0
206.88888888888889,0,Evil Infused Iron Ingot,extrautils2:ingredients:17
206.33333333333334,0,Wooden Tool Rod,"tconstruct:tool_rod:0:{Material:""wood""}"
205.88888888888889,0,Starmetal Ingot,astralsorcery:itemcraftingcomponent:1
204,0,Carminite,twilightforest:carminite:0
202,0,Ionite Crystal,environmentaltech:ionite_crystal:0
201,0,Litherite Crystal,environmentaltech:litherite_crystal:0
201,0,Ghast Tear,minecraft:ghast_tear:0
200,0,Bituminous Peat,forestry:bituminous_peat:0
200,0,Dilithium Crystal,libvulpes:productgem:0
199.77777777777777,0,Enhanced Ender Ingot,extendedcrafting:material:48
198.88888888888889,0,§bGlitch Infused Ingot§r,deepmoblearning:glitch_infused_ingot:0
198.88888888888889,0,Bound Ingot,tconevo:metal:25
198,0,Glass Pane,minecraft:glass_pane:0
198,0,Ratglove Flower,rats:ratglove_flower:0
198,0,Morb (Ghast§r),"thermalexpansion:morb:0:{id:""minecraft:ghast""}"
198,0,Heart Dust,scalinghealth:heartdust:0
198,0,Honey Comb,forestry:bee_combs:0
198,0,Forest Hive,forestry:beehives:0
198,0,Compressed Infinity Dust Block,enderio:block_infinity:1
193.77777777777777,0,Zirconium Ingot,nuclearcraft:ingot:10
193,0,Tin Dust,mekanism:dust:4
192.88888888888889,0,Ectoplasm,randomthings:ingredient:2
192.5920634920635,0,Sugar,minecraft:sugar:0
192,0,Coke Dust,immersiveengineering:material:17
192,0,Coal Coke,immersiveengineering:material:6
191.5,0,Potato,minecraft:potato:0
188.5,0,Magician Blood Orb,"bloodmagic:blood_orb:0:{orb:""bloodmagic:magician""}"
184.66666666666666,0,DU Plating,nuclearcraft:part:2
176,0,Crushed Emerald,actuallyadditions:item_dust:3
176,0,Emerald Rocky Chunk,jaopca:item_rockychunkemerald:0
176,0,"Emerald §o""Nugget""","rats:rat_nugget_ore:13:{OreItem:{id:""minecraft:emerald_ore"",Count:1b,Damage:0s},IngotItem:{id:""minecraft:emerald"",Count:1b,Damage:0s}}"
170.496b,0,Molten Lapis,fluid:lapis
167.17864614156866,0,Block of Redstone,minecraft:redstone_block:0
165.88888888888889,0,Aluminum Brass Ingot,tconstruct:ingots:5
164.88888888888889,0,The Ultimate Ingot,extendedcrafting:material:32
163,0,Praecantatio,aspect:Praecantatio
162,0,Connector,environmentaltech:connector:0
162,0,Compressed Ender Gravel,excompressum:compressed_block:7
162,0,Compressed Nether Gravel,excompressum:compressed_block:6
160.94444444444446,0,Perditio,aspect:Perditio
157.5,0,Sapphire,iceandfire:sapphire_gem:0
156.94444444444446,0,Pestle and Mortar,botania:pestleandmortar:0
154.5,0,Enchanted Fabric,thaumcraft:fabric:0
154,0,Spellbinding Cloth,thaumictinkerer:spellbinding_cloth:0
154,0,Permutatio,aspect:Permutatio
151.9,1,Flint,minecraft:flint:0
151.25,0,Carbon Brick,advancedrocketry:misc:1
147.456b,0,Molten Demon Metal,fluid:xu_demonic_metal
144.09876543209876,0,Charged Draconium Block,draconicevolution:draconium_block:1
144,0,Iron Drum,extrautils2:drum:1
144,0,Base Essence Ingot,mysticalagriculture:crafting:32
138.33333333333331,0,Desert Myrmex Resin Chunk,iceandfire:myrmex_desert_resin:0
138,0,Magical Planks,extrautils2:decorativesolidwood:0
135,0,Erodium Crystal,environmentaltech:erodium_crystal:0
134.07407407407408,0,Fused Quartz,enderio:block_fused_quartz:0
132,0,Coil,ic2:crafting:5
131,0,Tin Gear,thermalfoundation:material:257
128,0,Endervoir,enderio:block_reservoir:0
128,0,Low Voltage Solar Array,compactsolars:compact_solar_block:0
128,0,LV-Transformer,ic2:te:77
128,0,Klein Bottle,extrautils2:klein:0
128,0,Speculation Core (4x),threng:material:9
126.93333333333335,0,Brick,minecraft:brick:0
126.36666666666666b,0,Demonic Will,fluid:raw_will
124.99999999999997,0,Phosphor Nugget,contenttweaker:nugget_phosphor:0
124.99999999999997,0,"Phosphor Nugget §o""Nugget""","rats:rat_nugget_ore:88:{OreItem:{id:""contenttweaker:ore_phosphor"",Count:1b,Damage:0s},IngotItem:{id:""contenttweaker:nugget_phosphor"",Count:1b,Damage:0s}}"
121.06944444444444,0,Gold Nugget,minecraft:gold_nugget:0
116,0,Advanced Tier Installer,mekanism:tierinstaller:1
113,0,Engineering Processor,appliedenergistics2:material:24
112.83014807231041Mrf,0,{Rf},placeholder:rf
110.88888888888889,0,Pulsating Iron Ingot,enderio:item_alloy_ingot:5
110,0,Pulsating Propolis,forestry:propolis:2
110,0,Mysterious Comb,forestry:bee_combs:8
110,0,Ender Hive,forestry:beehives:4
108.33333333333333,0,Dilithium Ore,libvulpes:ore0:0
108,0,Conglomerate Of Coal,contenttweaker:conglomerate_of_coal:0
108,0,Advanced Lithium Ion Battery,"nuclearcraft:lithium_ion_battery_advanced:0:{capacity:128000000,maxTransfer:6400000,energy:0}"
108,0,Photovoltaic Cell,enderio:block_solar_panel:1
107.5,0,Metal Press Mold: Plate,immersiveengineering:mold:0
106.66666666666666,0,Elite Plating,nuclearcraft:part:3
106,0,Osmium Dust,mekanism:dust:2
104,0,Crystaltine Nugget,extendedcrafting:material:25
103.07407407407408,0,Mortar and Pestle,harvestcraft:mortarandpestleitem:0
101.71428571428571,0,Sugar Canes,minecraft:reeds:0
101b,0,Destabilized Redstone,fluid:redstone
100,0,Ender Casing,actuallyadditions:block_misc:8
99.09876543209876,0,Mending Moss,tconstruct:materials:19
99,0,Black Iron Slate,extendedcrafting:material:2
98.38888888888889,0,Glass Bottle,minecraft:glass_bottle:0
98.25850340136054,0,Apple,minecraft:apple:0
96,0,Lavawood,tconstruct:firewood:0
96,0,Kyronite Crystal,environmentaltech:kyronite_crystal:0
96,0,Advanced Solar Panel,nuclearcraft:solar_panel_advanced:0
96,0,Advanced Induction Cell,mekanism:basicblock2:3:{tier:1}
96,0,Crystalline Alloy Ingot,enderio:item_alloy_endergy_ingot:1
96,0,Advanced Induction Provider,mekanism:basicblock2:4:{tier:1}
96,0,Lumium Plate,thermalfoundation:material:358
96,0,Reinforcement,tconstruct:materials:14
96,0,Dense Obsidian Plate,ic2:plate:15
95.5,0,Logic Processor,appliedenergistics2:material:22
95.33333333333333,0,Lapis Lazuli Ore,minecraft:lapis_ore:0
94.68858820688159,0,Ender Pearl,minecraft:ender_pearl:0
93.25,0,Bone Meal,minecraft:dye:15
92,0,Dragon's Breath,minecraft:dragon_breath:0
91.5,0,Iron Casing,actuallyadditions:block_misc:9
91,0,Luminessence,extendedcrafting:material:7
90b,0,Biomass,fluid:biomass
90,0,Archmage Blood Orb,"bloodmagic:blood_orb:0:{orb:""bloodmagic:archmage""}"
90,0,Gaia Spirit,botania:manaresource:5
89.5,0,Pink Slime,industrialforegoing:pink_slime:0
89.1111111111111,0,Conveyor Belt,"immersiveengineering:conveyor:0:{conveyorType:""immersiveengineering:conveyor""}"
89,0,Binding Reagent,bloodmagic:component:8
89,0,Common Tartaric Gem,"bloodmagic:soul_gem:2:{demonWillType:""vengeful"",souls:1.0d}"
88.94444444444444,0,Terra,aspect:Terra
88.92861111111111,0,Slimeball,minecraft:slime_ball:0
88.5,0,Plant Oil,bloodmagic:component:22
88.33333333333334,0,Wheat,minecraft:wheat:0
88.22222222222223,0,Tin Item Casing,ic2:casing:6
88.08333333333333,0,Tin Plate,thermalfoundation:material:321
88,0,Experience Pylon,cyclicmagic:exp_pylon:0
88,0,Empowered Diamatine Crystal,actuallyadditions:item_crystal_empowered:2
88,0,Heart of Diamond,quark:diamond_heart:0
88,0,Charged Creeper Chunk,rats:charged_creeper_chunk:0
88,0,Emerald Chunk,jaopca:item_chunkemerald:0
88,0,Basic Cutting Fluid,bloodmagic:cutting_fluid:0
88,0,Water Bottle,"minecraft:potion:0:{Potion:""minecraft:water""}"
88,0,Lunar Reactive Dust,extrautils2:ingredients:3
88,0,Roast Prime Bacon,animania:cooked_prime_bacon:0
88,0,Raw Prime Bacon,animania:raw_prime_bacon:0
88,0,Demon Will Crystal,bloodmagic:item_demon_crystal:0
88,0,Grapes,rustic:grapes:0
87.71723978436313,1,End Stone,minecraft:end_stone:0
87.43650793650792b,0,Milk,fluid:milk
87,0,Reinforced Slate,bloodmagic:slate:1
85.33333333333333,0,Native Lapis Lazuli Cluster,jaopca:item_clusterlapis:0
85,0,Litherite Solar Cell,environmentaltech:solar_cell_litherite:0
84,0,Enderium Nugget,thermalfoundation:material:231
81.22222222222223,0,Dense Lapis Lazuli Plate,ic2:plate:13
81.13809523809526,0,Flour,harvestcraft:flouritem:0
81,0,Black Crystal Shard,actuallyadditions:item_crystal_shard:3
81,0,Clear Glass,tconstruct:clear_glass:0
80.9375,0,Soul Sand,minecraft:soul_sand:0
80.9375,0,Slag,immersiveengineering:material:7
80.68055555555556,0,Aqua,aspect:Aqua
80.5,0,Enderium Plate,thermalfoundation:material:359
80.0625,0,Bucket,minecraft:bucket:0
80,0,Medium Voltage Solar Array,compactsolars:compact_solar_block:1
80,0,Dense Lead Plate,ic2:plate:14
76,0,Block of Black Iron,extendedcrafting:storage:0
76,0,Prismarine Shard,minecraft:prismarine_shard:0
73.44444444444444,0,Awakened Draconium Ingot,draconicevolution:draconic_ingot:0
73,0,Clear Laser Lens,environmentaltech:laser_lens:0
72.14519219930109,0,Green Crystal Cluster,actuallyadditions:block_crystal_cluster_emerald:0
72,0,Pladium Crystal,environmentaltech:pladium_crystal:0
72,0,Compressed Crafting Table,avaritia:compressed_crafting_table:0
72,0,Aethium Crystal,environmentaltech:aethium_crystal:0
71.25,0,Copper Ingot,thermalfoundation:material:128
70.33333333333333,1,Obsidian,minecraft:obsidian:0
68.91,0,Egg,animania:brown_egg:0
68,0,Tough Alloy,nuclearcraft:alloy:1
68,0,Cobweb,minecraft:web:0
68,0,Mica,environmentaltech:mica:0
67.45833333333333,0,String,minecraft:string:0
66.66666666666667b,0,Molten Salt,fluid:moltensalt
65,0,64k ME Storage Component,appliedenergistics2:material:38
64.79012345679013,0,Magic Wood,biomesoplenty:log_1:5
64,0,Infinite Water Source,nuclearcraft:water_source:0
64,0,Empty Frame,nuclearcraft:part:11
64,0,Solar Panel,mekanismgenerators:solarpanel:0
64,0,Demonic Large Plate,"tconstruct:large_plate:0:{Material:""xu_demonic_metal""}"
64,0,Mysterious Token Fragment,rats:token_fragment:0
64,0,Cheese,actuallyadditions:item_food:0
64,0,Milk,minecraft:milk_bucket:0
64,0,Egg,minecraft:egg:0
64,0,The Ultimate Component,extendedcrafting:material:19
64,0,Speculation Core (8x),threng:material:10
63.408b,0,Molten Invar,fluid:invar
63,0,Iridium Reinforced Plate,ic2:crafting:4
61,0,Sky Stone,appliedenergistics2:sky_stone_block:0
60.88889058430989,0,§bSuperium Essence,mysticalagriculture:crafting:3
60,0,Ultimate Control Circuit,mekanism:controlcircuit:3
59.77777777777777,0,Draconium Ingot,draconicevolution:draconium_ingot:0
58.66666666666667,0,Block of Dilithium,jaopca:block_blockdilithium:0
58,0,Canola,actuallyadditions:item_misc:13
58,0,Erodium Solar Cell,environmentaltech:solar_cell_erodium:0
56.6,0,Forge Hammer,ic2:forge_hammer:0
56.22222222222222,0,Mana Dust,thermalfoundation:material:1028
56,0,Crystal Matrix Ingot,avaritia:resource:1
56,0,Blue Quartz,extrautils2:decorativesolid:6
55.45611111111111,1,Oak Leaves,minecraft:leaves:0
55,0,Blutonium Ingot,bigreactors:ingotblutonium:0
54.5,0,Interconnect,environmentaltech:interconnect:0
54.22569444444444,0,§cSupremium Essence,mysticalagriculture:crafting:4
54.22222222222222,0,Boron Ingot,nuclearcraft:ingot:5
54,0,Green Crystal Block,advancedrocketry:crystal:2
54,0,White Crystal Shard,actuallyadditions:item_crystal_shard:5
54,0,Black Iron Nugget,extendedcrafting:material:1
54,0,Black Iron Burst Seed,mechanics:burst_seed_black_iron:0
54,0,Heavy Fuel Dust,mechanics:fuel_dust:0
54,0,Compressed Sand,extrautils2:compressedsand:0
52,0,Reinforced Large Drum,extrautils2:drum:2
51.333333333333336,0,Sponge Crook,"exnihilocreatio:crook_tconstruct:0:{TinkerData:{Materials:[""sponge"",""sponge"",""sponge"",""sponge""],Modifiers:[""toolleveling""]},Stats:{Durability:1359,HarvestLevel:1,Attack:0.0f,MiningSpeed:2.265f,AttackSpeedMultiplier:1.0f,FreeModifiers:2},StatsOriginal:{Durability:1359,HarvestLevel:1,Attack:0.0f,MiningSpeed:2.265f,AttackSpeedMultiplier:1.0f,FreeModifiers:3},Special:{Categories:[""harvest"",""aoe"",""tool""]},Modifiers:[{identifier:""squeaky"",color:-3486642,level:1},{identifier:""toolleveling"",color:16777215,level:1}],Traits:[""squeaky"",""toolleveling""],ench:[{id:33s,lvl:1s}]}"
51,1,Oak Wood,minecraft:log:0
50.22222222222222,0,Melodic Alloy Ingot,enderio:item_alloy_endergy_ingot:2
50,0,Gold Grit,immersiveengineering:metal:19
50b,0,Rocket Fuel,fluid:rocketfuel
50,0,Hopper,minecraft:hopper:0
50,0,Bronze Item Casing,ic2:casing:0
49.94444444444444,0,Salis Mundus,thaumcraft:salis_mundus:0
49,0,Elite Tier Installer,mekanism:tierinstaller:2
48.88888888888889,0,Pot,harvestcraft:potitem:0
48.888888888888886,0,Black Iron Ingot,extendedcrafting:material:0
48.05,0,Wither Dust,darkutils:material:0
48,0,Steel Rod,immersiveengineering:material:2
48,0,Printed Engineering Circuit,appliedenergistics2:material:17
48,0,"Draconium §o""Nugget""","rats:rat_nugget_ore:12:{OreItem:{id:""draconicevolution:draconium_ore"",Count:1b,Damage:0s},IngotItem:{id:""draconicevolution:draconium_ingot"",Count:1b,Damage:0s}}"
48,0,Neutron Reflector,ic2:neutron_reflector:0:{advDmg:0}
48,0,Crystalline Capacitor,enderio:item_capacitor_crystalline:0
48,0,Prismarine Crystals,minecraft:prismarine_crystals:0
48,0,Gold Item Casing,ic2:casing:2
47.333333333333336,0,Iridium Ingot,thermalfoundation:material:135
47,0,Quicksilver,thaumcraft:quicksilver:0
46,0,Dimensional Blend,nuclearcraft:compound:8
45.77777777777777,0,Wyvern Core,draconicevolution:wyvern_core:0
45.5,0,Glass,minecraft:glass:0
45,0,Energy Crystal,ic2:energy_crystal:0
44.888888888888886,0,Crystaltine Ingot,extendedcrafting:material:24
44.60590277777777,0,Clay,minecraft:clay_ball:0
44,0,Reactor Frame,mekanismgenerators:reactor:1
44,0,Ratglove Petals,rats:ratglove_petals:0
43.58333333333333,1,Dirt,minecraft:dirt:0
42.888888888888886,0,§5Insanium Ingot,mysticalagradditions:insanium:2
42.75,0,Dust,exnihilocreatio:block_dust:0
42,0,Nether Star,minecraft:nether_star:0
41.9,0,Rat Diamond,rats:rat_diamond:0
41.25,0,Basic Machine Casing,ic2:resource:12
40.5,0,Manasteel Nugget,botania:manaresource:17
40.5,0,Photovoltaic Cell,environmentaltech:photovoltaic_cell:0
40.025555555555556b,0,Blood,fluid:blood
40.008b,0,Enriched Lava,fluid:enrichedlava
40,0,Universal Fluid Cell,"ic2:fluid_cell:0:{Fluid:{FluidName:""lava"",Amount:1000}}"
40,0,Ionite Solar Cell,environmentaltech:solar_cell_ionite:0
40,0,Kyronite Solar Cell,environmentaltech:solar_cell_kyronite:0
40,0,Printed Silicon,appliedenergistics2:material:20
39.456b,0,Molten Electrum,fluid:electrum
39.111111111111114,0,Graham Cracker,nuclearcraft:graham_cracker:0
